Stock1,Stock2
GESAN.csv,MIATK.csv
GESAN.csv,YKBNK.csv
GESAN.csv,GUBRF.csv
GESAN.csv,ENJSA.csv
GESAN.csv,BOBET.csv
GESAN.csv,BRSAN.csv
GESAN.csv,TURSG.csv
GESAN.csv,AKSA.csv
GESAN.csv,VAKBN.csv
GESAN.csv,BIMAS.csv
GESAN.csv,ECILC.csv
GESAN.csv,VESTL.csv
GESAN.csv,EGEEN.csv
GESAN.csv,SISE.csv
GESAN.csv,EREGL.csv
GESAN.csv,VESBE.csv
GESAN.csv,PETKM.csv
GESAN.csv,AKFGY.csv
GESAN.csv,AKSEN.csv
GESAN.csv,GARAN.csv
GESAN.csv,AKFYE.csv
GESAN.csv,TKFEN.csv
GESAN.csv,ALFAS.csv
GESAN.csv,CANTE.csv
GESAN.csv,KLSER.csv
GESAN.csv,ARCLK.csv
GESAN.csv,MGROS.csv
GESAN.csv,ODAS.csv
GESAN.csv,SASA.csv
GESAN.csv,KRDMD.csv
GESAN.csv,AHGAZ.csv
GESAN.csv,TOASO.csv
GESAN.csv,AGESA.csv
GESAN.csv,CWENE.csv
GESAN.csv,AKBNK.csv
GESAN.csv,AKCNS.csv
GESAN.csv,EKGYO.csv
GESAN.csv,ISGYO.csv
GESAN.csv,THYAO.csv
GESAN.csv,PGSUS.csv
GESAN.csv,GOKNR.csv
GESAN.csv,TSKB.csv
GESAN.csv,ENTRA.csv
GESAN.csv,BRYAT.csv
GESAN.csv,DOAS.csv
GESAN.csv,A1CAP.csv
GESAN.csv,TAVHL.csv
GESAN.csv,AEFES.csv
GESAN.csv,SKBNK.csv
GESAN.csv,SAHOL.csv
GESAN.csv,CIMSA.csv
GESAN.csv,ISCTR.csv
GESAN.csv,BIOEN.csv
GESAN.csv,ULKER.csv
GESAN.csv,HEKTS.csv
GESAN.csv,OYAKC.csv
GESAN.csv,TUPRS.csv
GESAN.csv,KONTR.csv
GESAN.csv,BUCIM.csv
GESAN.csv,OBAMS.csv
GESAN.csv,FROTO.csv
GESAN.csv,YYLGD.csv
GESAN.csv,KZGYO.csv
GESAN.csv,AFYON.csv
GESAN.csv,KCAER.csv
GESAN.csv,GWIND.csv
GESAN.csv,ASTOR.csv
GESAN.csv,ANSGR.csv
GESAN.csv,ISMEN.csv
GESAN.csv,KAYSE.csv
GESAN.csv,ASELS.csv
GESAN.csv,DOHOL.csv
GESAN.csv,KCHOL.csv
GESAN.csv,ENKAI.csv
GESAN.csv,BERA.csv
GESAN.csv,AGROT.csv
GESAN.csv,BINHO.csv
GESAN.csv,MAVI.csv
GESAN.csv,HALKB.csv
GESAN.csv,ALBRK.csv
GESAN.csv,ARDYZ.csv
GESAN.csv,KMPUR.csv
GESAN.csv,TTKOM.csv
GESAN.csv,OTKAR.csv
GESAN.csv,EUPWR.csv
