Stock1,Stock2,t_stat
GESAN.csv,SISE.csv,-3.3635
GESAN.csv,KLSER.csv,-2.9581
GESAN.csv,ODAS.csv,-3.3371
GESAN.csv,CWENE.csv,-2.8685
GESAN.csv,YYLGD.csv,-2.9386
GESAN.csv,KMPUR.csv,-3.1997
MIATK.csv,EGEEN.csv,-3.0896
MIATK.csv,PETKM.csv,-3.2987
MIATK.csv,AKFYE.csv,-3.1672
MIATK.csv,KLSER.csv,-3.0656
MIATK.csv,DOAS.csv,-3.1868
MIATK.csv,A1CAP.csv,-3.0928
MIATK.csv,ULKER.csv,-2.8487
MIATK.csv,KZGYO.csv,-2.8346
MIATK.csv,GWIND.csv,-2.8326
MIATK.csv,BERA.csv,-2.9992
MIATK.csv,SOKM.csv,-2.7751
MIATK.csv,TTRAK.csv,-3.1767
YKBNK.csv,TURSG.csv,-3.2000
YKBNK.csv,VAKBN.csv,-2.9237
YKBNK.csv,BIMAS.csv,-3.1173
YKBNK.csv,TSKB.csv,-3.0693
YKBNK.csv,ENTRA.csv,-2.9583
YKBNK.csv,AEFES.csv,-2.7903
YKBNK.csv,SAHOL.csv,-3.3267
YKBNK.csv,CIMSA.csv,-2.9179
YKBNK.csv,ISCTR.csv,-2.7727
YKBNK.csv,ULKER.csv,-2.8174
YKBNK.csv,OBAMS.csv,-3.0268
YKBNK.csv,KZGYO.csv,-2.8089
YKBNK.csv,AFYON.csv,-3.2182
YKBNK.csv,ISMEN.csv,-3.0285
YKBNK.csv,DOHOL.csv,-3.0378
YKBNK.csv,KCHOL.csv,-2.8595
YKBNK.csv,AGROT.csv,-3.3206
YKBNK.csv,MAVI.csv,-3.3438
ENJSA.csv,BIMAS.csv,-2.8279
ENJSA.csv,EREGL.csv,-2.9018
ENJSA.csv,KRDMD.csv,-2.8621
ENJSA.csv,ENKAI.csv,-2.9552
ENJSA.csv,HALKB.csv,-3.1525
BOBET.csv,ARCLK.csv,-2.9284
BOBET.csv,BUCIM.csv,-2.8898
BRSAN.csv,PETKM.csv,-2.7703
BRSAN.csv,KLSER.csv,-2.8974
BRSAN.csv,CWENE.csv,-3.2780
BRSAN.csv,DOAS.csv,-3.0310
BRSAN.csv,OBAMS.csv,-2.8826
BRSAN.csv,KAYSE.csv,-2.8811
BRSAN.csv,AGROT.csv,-3.0133
TURSG.csv,AKSA.csv,-2.9244
TURSG.csv,AGESA.csv,-3.1049
TURSG.csv,AKBNK.csv,-3.0869
TURSG.csv,KAYSE.csv,-2.8649
TURSG.csv,ENKAI.csv,-2.9012
TURSG.csv,ALBRK.csv,-3.3338
AKSA.csv,VAKBN.csv,-3.3736
AKSA.csv,EREGL.csv,-2.9439
AKSA.csv,GARAN.csv,-3.1128
AKSA.csv,KRDMD.csv,-3.2956
AKSA.csv,AGESA.csv,-2.8301
AKSA.csv,AKBNK.csv,-3.3646
AKSA.csv,AKCNS.csv,-2.8733
AKSA.csv,TSKB.csv,-3.1270
AKSA.csv,TAVHL.csv,-3.0879
AKSA.csv,SAHOL.csv,-3.0535
AKSA.csv,CIMSA.csv,-2.9117
AKSA.csv,ISCTR.csv,-2.8721
AKSA.csv,KZGYO.csv,-2.8425
AKSA.csv,AFYON.csv,-2.8206
AKSA.csv,DOHOL.csv,-3.1883
AKSA.csv,AGROT.csv,-2.9874
AKSA.csv,ALBRK.csv,-3.2383
AKSA.csv,TTKOM.csv,-2.8512
VAKBN.csv,BIMAS.csv,-3.3555
VAKBN.csv,GARAN.csv,-2.8548
VAKBN.csv,MGROS.csv,-3.1888
VAKBN.csv,AGESA.csv,-3.1317
VAKBN.csv,AKBNK.csv,-3.2560
VAKBN.csv,EKGYO.csv,-2.9742
VAKBN.csv,CIMSA.csv,-3.0410
VAKBN.csv,ANSGR.csv,-3.0678
VAKBN.csv,KAYSE.csv,-3.1323
VAKBN.csv,DOHOL.csv,-3.2204
VAKBN.csv,ENKAI.csv,-2.8001
VAKBN.csv,AGROT.csv,-3.0678
BIMAS.csv,EREGL.csv,-2.8788
BIMAS.csv,KLSER.csv,-3.3504
BIMAS.csv,KRDMD.csv,-2.9665
BIMAS.csv,AKBNK.csv,-3.1155
BIMAS.csv,ANSGR.csv,-3.2618
BIMAS.csv,KAYSE.csv,-2.8727
BIMAS.csv,DOHOL.csv,-2.7836
ECILC.csv,EKGYO.csv,-2.8354
ECILC.csv,DOHOL.csv,-2.7685
ECILC.csv,HALKB.csv,-3.1590
