Stock1,Stock2,t_stat
GESAN.csv,MIATK.csv,-1.6997
GESAN.csv,YKBNK.csv,-1.7116
GESAN.csv,GUBRF.csv,-1.9587
GESAN.csv,ENJSA.csv,-1.8290
GESAN.csv,BOBET.csv,-2.1881
GESAN.csv,BRSAN.csv,-2.2505
GESAN.csv,TURSG.csv,-1.7548
GESAN.csv,AKSA.csv,-1.7380
GESAN.csv,VAKBN.csv,-1.7228
GESAN.csv,BIMAS.csv,-1.7920
GESAN.csv,ECILC.csv,-1.6987
GESAN.csv,VESTL.csv,-1.1045
GESAN.csv,EGEEN.csv,-1.4383
GESAN.csv,EREGL.csv,-1.8185
GESAN.csv,VESBE.csv,-0.9427
GESAN.csv,AKFGY.csv,-1.6005
GESAN.csv,AKSEN.csv,-1.8403
GESAN.csv,GARAN.csv,-1.6573
GESAN.csv,AKFYE.csv,-1.8619
GESAN.csv,TKFEN.csv,-1.8427
GESAN.csv,CANTE.csv,-1.4438
GESAN.csv,ARCLK.csv,-1.7265
GESAN.csv,MGROS.csv,-1.8247
GESAN.csv,SASA.csv,-1.5047
GESAN.csv,KRDMD.csv,-2.0446
GESAN.csv,AHGAZ.csv,-1.9854
GESAN.csv,TOASO.csv,-2.0890
GESAN.csv,AGESA.csv,-1.7471
GESAN.csv,AKBNK.csv,-1.6932
GESAN.csv,AKCNS.csv,-2.0267
GESAN.csv,EKGYO.csv,-1.6749
GESAN.csv,ISGYO.csv,-1.8696
GESAN.csv,THYAO.csv,-1.7972
GESAN.csv,PGSUS.csv,-1.4609
GESAN.csv,GOKNR.csv,-1.9035
GESAN.csv,TSKB.csv,-1.6149
GESAN.csv,ENTRA.csv,-1.5549
GESAN.csv,BRYAT.csv,-1.9790
GESAN.csv,DOAS.csv,-2.0367
GESAN.csv,A1CAP.csv,-1.6430
GESAN.csv,TAVHL.csv,-1.6270
GESAN.csv,AEFES.csv,-1.7652
GESAN.csv,SKBNK.csv,-1.7212
GESAN.csv,SAHOL.csv,-1.6527
GESAN.csv,CIMSA.csv,-1.6894
GESAN.csv,ISCTR.csv,-1.6665
GESAN.csv,BIOEN.csv,-2.4398
GESAN.csv,ULKER.csv,-1.5742
GESAN.csv,HEKTS.csv,-1.3010
GESAN.csv,OYAKC.csv,-1.6876
GESAN.csv,TUPRS.csv,-1.8719
GESAN.csv,KONTR.csv,-0.6859
GESAN.csv,BUCIM.csv,-1.8255
GESAN.csv,OBAMS.csv,-1.9002
GESAN.csv,FROTO.csv,-1.6575
GESAN.csv,AFYON.csv,-1.8443
GESAN.csv,KCAER.csv,-2.3119
GESAN.csv,GWIND.csv,-1.9335
GESAN.csv,ASTOR.csv,-2.1247
GESAN.csv,ANSGR.csv,-1.7563
GESAN.csv,ISMEN.csv,-1.6931
GESAN.csv,KAYSE.csv,-2.1436
GESAN.csv,ASELS.csv,-1.8084
GESAN.csv,DOHOL.csv,-1.8695
GESAN.csv,KCHOL.csv,-1.8091
GESAN.csv,ENKAI.csv,-1.7145
GESAN.csv,BERA.csv,-1.9323
GESAN.csv,AGROT.csv,-1.9930
GESAN.csv,BINHO.csv,-0.9092
GESAN.csv,MAVI.csv,-1.6715
GESAN.csv,HALKB.csv,-1.7743
GESAN.csv,ALBRK.csv,-1.6995
