Stock1,Stock2,t_stat
GESAN.csv,EUPWR.csv,-4.0536
MIATK.csv,BRYAT.csv,-4.0445
MIATK.csv,OBAMS.csv,-3.5560
MIATK.csv,KCAER.csv,-3.5010
MIATK.csv,AGROT.csv,-3.5253
MIATK.csv,BINHO.csv,-3.5744
MIATK.csv,OTKAR.csv,-3.5580
YKBNK.csv,AKSA.csv,-3.4085
YKBNK.csv,KLSER.csv,-4.2146
YKBNK.csv,MGROS.csv,-3.9606
YKBNK.csv,AKBNK.csv,-3.9607
YKBNK.csv,TAVHL.csv,-4.2372
YKBNK.csv,ANSGR.csv,-4.0399
YKBNK.csv,KAYSE.csv,-3.5298
YKBNK.csv,TTKOM.csv,-3.4337
ENJSA.csv,TUPRS.csv,-4.0989
BOBET.csv,ALFAS.csv,-3.9701
BOBET.csv,KLSER.csv,-3.5558
BOBET.csv,KAYSE.csv,-3.7805
BOBET.csv,AGROT.csv,-4.6892
BRSAN.csv,KZGYO.csv,-3.6762
BRSAN.csv,SOKM.csv,-3.7622
TURSG.csv,VAKBN.csv,-3.5120
TURSG.csv,BIMAS.csv,-3.4074
TURSG.csv,KLSER.csv,-3.5492
AKSA.csv,BIMAS.csv,-3.6052
AKSA.csv,KLSER.csv,-3.8084
AKSA.csv,MGROS.csv,-3.4482
AKSA.csv,ANSGR.csv,-3.5889
AKSA.csv,KAYSE.csv,-3.5834
VAKBN.csv,KLSER.csv,-3.6481
VAKBN.csv,TAVHL.csv,-3.6106
VAKBN.csv,ALBRK.csv,-4.1457
VAKBN.csv,TTKOM.csv,-3.7841
ECILC.csv,A1CAP.csv,-3.8530
VESTL.csv,VESBE.csv,-3.6745
EGEEN.csv,AGROT.csv,-3.4072
SISE.csv,PETKM.csv,-3.5964
SISE.csv,ALFAS.csv,-3.8636
SISE.csv,KLSER.csv,-3.5619
SISE.csv,CWENE.csv,-3.5942
SISE.csv,KAYSE.csv,-3.6639
SISE.csv,KMPUR.csv,-3.4801
SISE.csv,ALARK.csv,-3.4904
EREGL.csv,TUPRS.csv,-3.4339
PETKM.csv,AKFYE.csv,-3.8180
PETKM.csv,GOKNR.csv,-3.6174
PETKM.csv,BRYAT.csv,-3.6541
PETKM.csv,DOAS.csv,-3.7654
PETKM.csv,A1CAP.csv,-3.4828
PETKM.csv,BIOEN.csv,-3.7621
PETKM.csv,KCAER.csv,-3.9196
PETKM.csv,GWIND.csv,-4.4579
PETKM.csv,KAYSE.csv,-3.5060
PETKM.csv,BERA.csv,-3.7860
PETKM.csv,SOKM.csv,-3.6507
PETKM.csv,ALARK.csv,-4.0984
AKFGY.csv,GARAN.csv,-3.3900
AKFGY.csv,AHGAZ.csv,-3.6770
AKFGY.csv,TOASO.csv,-3.3921
AKFGY.csv,AGESA.csv,-3.6078
AKFGY.csv,EKGYO.csv,-3.5464
AKFGY.csv,A1CAP.csv,-4.1272
AKFGY.csv,SKBNK.csv,-3.5477
AKFGY.csv,TUPRS.csv,-3.4501
AKFGY.csv,ASELS.csv,-3.6389
AKFGY.csv,DOHOL.csv,-3.4297
AKFGY.csv,ENKAI.csv,-3.5271
AKFGY.csv,HALKB.csv,-3.6506
AKFGY.csv,ALBRK.csv,-3.4909
GARAN.csv,KLSER.csv,-5.2440
GARAN.csv,ENTRA.csv,-3.4549
GARAN.csv,TAVHL.csv,-4.0752
GARAN.csv,KAYSE.csv,-3.7887
GARAN.csv,AGROT.csv,-4.2756
GARAN.csv,TTKOM.csv,-4.0503
AKFYE.csv,KCAER.csv,-3.7999
ALFAS.csv,KLSER.csv,-5.8785
ALFAS.csv,ODAS.csv,-3.9857
ALFAS.csv,KONTR.csv,-3.7152
ALFAS.csv,OBAMS.csv,-3.5605
ALFAS.csv,KZGYO.csv,-3.5007
ALFAS.csv,KAYSE.csv,-4.3096
ALFAS.csv,AGROT.csv,-5.5586
ALFAS.csv,KMPUR.csv,-4.5109
CANTE.csv,AHGAZ.csv,-4.8704
CANTE.csv,ASTOR.csv,-5.8668
KLSER.csv,ODAS.csv,-3.9358
KLSER.csv,SASA.csv,-4.7819
KLSER.csv,AKBNK.csv,-3.9896
KLSER.csv,THYAO.csv,-3.5502
KLSER.csv,TSKB.csv,-4.7198
KLSER.csv,TAVHL.csv,-4.2023
KLSER.csv,SAHOL.csv,-3.5105
KLSER.csv,HEKTS.csv,-8.3991
KLSER.csv,KONTR.csv,-3.6595
KLSER.csv,OBAMS.csv,-3.5685
KLSER.csv,YYLGD.csv,-3.5204
KLSER.csv,KZGYO.csv,-4.5135
KLSER.csv,AFYON.csv,-3.4968
KLSER.csv,ANSGR.csv,-4.3191
KLSER.csv,KAYSE.csv,-6.5614
KLSER.csv,AGROT.csv,-5.7512
KLSER.csv,BINHO.csv,-3.9943
KLSER.csv,ALBRK.csv,-3.6990
KLSER.csv,KMPUR.csv,-4.6285
KLSER.csv,TTKOM.csv,-4.8871
ARCLK.csv,BUCIM.csv,-3.8675
ARCLK.csv,TTRAK.csv,-3.4225
MGROS.csv,AKBNK.csv,-3.6752
MGROS.csv,AKCNS.csv,-3.6069
MGROS.csv,ANSGR.csv,-3.8608
MGROS.csv,DOHOL.csv,-3.4381
ODAS.csv,YYLGD.csv,-4.6392
ODAS.csv,KAYSE.csv,-3.5237
ODAS.csv,AGROT.csv,-4.4018
ODAS.csv,KMPUR.csv,-5.2955
ODAS.csv,KORDS.csv,-3.8379
KRDMD.csv,AKCNS.csv,-4.2857
KRDMD.csv,ASTOR.csv,-4.2054
KRDMD.csv,DOHOL.csv,-3.6513
KRDMD.csv,YEOTK.csv,-3.6825
TOASO.csv,DOHOL.csv,-3.3982
AGESA.csv,ENKAI.csv,-4.0115
AGESA.csv,HALKB.csv,-3.4624
CWENE.csv,PGSUS.csv,-3.8580
AKBNK.csv,TAVHL.csv,-5.1003
AKBNK.csv,ANSGR.csv,-4.2887
AKBNK.csv,KAYSE.csv,-3.5117
AKBNK.csv,AGROT.csv,-3.5272
AKBNK.csv,TTKOM.csv,-4.0002
EKGYO.csv,ALBRK.csv,-3.6289
THYAO.csv,ENTRA.csv,-4.0672
THYAO.csv,DOAS.csv,-3.4212
THYAO.csv,A1CAP.csv,-3.7512
