Stock1,Stock2,t_stat
GESAN.csv,PETKM.csv,-2.4572
GESAN.csv,ALFAS.csv,-2.4939
GESAN.csv,KZGYO.csv,-2.5913
GESAN.csv,ALARK.csv,-2.5502
GESAN.csv,KORDS.csv,-2.6486
MIATK.csv,BRSAN.csv,-2.7189
MIATK.csv,ARCLK.csv,-2.6402
MIATK.csv,GOKNR.csv,-2.6005
MIATK.csv,FROTO.csv,-2.7352
MIATK.csv,AFYON.csv,-2.5283
MIATK.csv,KAYSE.csv,-2.6765
MIATK.csv,KCHOL.csv,-2.5777
MIATK.csv,MAVI.csv,-2.5839
MIATK.csv,ALARK.csv,-2.6698
YKBNK.csv,KRDMD.csv,-2.5721
YKBNK.csv,AKCNS.csv,-2.5903
YKBNK.csv,THYAO.csv,-2.5931
YKBNK.csv,FROTO.csv,-2.6289
YKBNK.csv,BERA.csv,-2.5591
YKBNK.csv,BINHO.csv,-2.6119
YKBNK.csv,ALBRK.csv,-2.5027
GUBRF.csv,ASTOR.csv,-2.6169
ENJSA.csv,TURSG.csv,-2.6954
ENJSA.csv,AGESA.csv,-2.7306
ENJSA.csv,ASELS.csv,-2.4605
ENJSA.csv,DOHOL.csv,-2.5541
BOBET.csv,BRSAN.csv,-2.6175
BOBET.csv,SISE.csv,-2.4515
BOBET.csv,PETKM.csv,-2.5931
BOBET.csv,BRYAT.csv,-2.7135
BOBET.csv,BIOEN.csv,-2.4669
BOBET.csv,OBAMS.csv,-2.5965
BOBET.csv,BINHO.csv,-2.6924
BOBET.csv,TTRAK.csv,-2.5098
BRSAN.csv,AKFYE.csv,-2.4576
BRSAN.csv,TOASO.csv,-2.4947
BRSAN.csv,AKCNS.csv,-2.5477
BRSAN.csv,A1CAP.csv,-2.5345
BRSAN.csv,GWIND.csv,-2.4734
BRSAN.csv,EUPWR.csv,-2.5027
BRSAN.csv,ALARK.csv,-2.6825
TURSG.csv,GARAN.csv,-2.5631
TURSG.csv,KRDMD.csv,-2.5166
TURSG.csv,EKGYO.csv,-2.6290
TURSG.csv,TAVHL.csv,-2.4551
TURSG.csv,ANSGR.csv,-2.4531
TURSG.csv,DOHOL.csv,-2.7080
TURSG.csv,AGROT.csv,-2.4657
TURSG.csv,HALKB.csv,-2.6843
TURSG.csv,TTKOM.csv,-2.6617
AKSA.csv,AHGAZ.csv,-2.6627
AKSA.csv,EKGYO.csv,-2.5457
AKSA.csv,THYAO.csv,-2.5592
AKSA.csv,ENTRA.csv,-2.5783
AKSA.csv,AEFES.csv,-2.7518
AKSA.csv,TUPRS.csv,-2.4890
AKSA.csv,KCHOL.csv,-2.5434
AKSA.csv,ENKAI.csv,-2.4958
VAKBN.csv,ECILC.csv,-2.5377
VAKBN.csv,KRDMD.csv,-2.5131
VAKBN.csv,AKCNS.csv,-2.5106
VAKBN.csv,ENTRA.csv,-2.7009
VAKBN.csv,AFYON.csv,-2.6537
VAKBN.csv,ISMEN.csv,-2.4681
VAKBN.csv,BINHO.csv,-2.5373
BIMAS.csv,MGROS.csv,-2.4757
BIMAS.csv,AGESA.csv,-2.6166
BIMAS.csv,AKCNS.csv,-2.5796
BIMAS.csv,ALBRK.csv,-2.6738
ECILC.csv,TOASO.csv,-2.5928
ECILC.csv,ENKAI.csv,-2.4861
VESTL.csv,BINHO.csv,-2.5466
VESTL.csv,KORDS.csv,-2.5830
VESTL.csv,CCOLA.csv,-2.5906
EGEEN.csv,ENTRA.csv,-2.5442
EGEEN.csv,A1CAP.csv,-2.7334
EGEEN.csv,BUCIM.csv,-2.4519
EGEEN.csv,OTKAR.csv,-2.6046
SISE.csv,GOKNR.csv,-2.7128
SISE.csv,BRYAT.csv,-2.6957
SISE.csv,DOAS.csv,-2.6491
SISE.csv,A1CAP.csv,-2.5096
SISE.csv,BINHO.csv,-2.7116
EREGL.csv,TKFEN.csv,-2.7376
EREGL.csv,KRDMD.csv,-2.7121
EREGL.csv,AHGAZ.csv,-2.4552
EREGL.csv,AKCNS.csv,-2.5485
EREGL.csv,ENKAI.csv,-2.6029
EREGL.csv,HALKB.csv,-2.4926
EREGL.csv,YEOTK.csv,-2.6116
VESBE.csv,KONTR.csv,-2.6227
PETKM.csv,GARAN.csv,-2.5068
PETKM.csv,ODAS.csv,-2.6972
PETKM.csv,KRDMD.csv,-2.4656
PETKM.csv,AKBNK.csv,-2.6284
PETKM.csv,PGSUS.csv,-2.6756
PETKM.csv,TSKB.csv,-2.6540
PETKM.csv,TAVHL.csv,-2.5307
PETKM.csv,SKBNK.csv,-2.5792
PETKM.csv,CIMSA.csv,-2.6071
PETKM.csv,OYAKC.csv,-2.5686
PETKM.csv,YYLGD.csv,-2.7147
PETKM.csv,ASTOR.csv,-2.7354
PETKM.csv,ANSGR.csv,-2.6563
PETKM.csv,DOHOL.csv,-2.6608
PETKM.csv,TTKOM.csv,-2.4717
PETKM.csv,CCOLA.csv,-2.4612
AKFGY.csv,ALFAS.csv,-2.6085
AKFGY.csv,KLSER.csv,-2.4779
AKFGY.csv,CWENE.csv,-2.7491
AKFGY.csv,EUPWR.csv,-2.4739
AKSEN.csv,TUPRS.csv,-2.5817
AKSEN.csv,ASELS.csv,-2.5827
GARAN.csv,AKBNK.csv,-2.7255
GARAN.csv,CIMSA.csv,-2.6077
GARAN.csv,KZGYO.csv,-2.4667
AKFYE.csv,TKFEN.csv,-2.4718
AKFYE.csv,CANTE.csv,-2.5968
AKFYE.csv,MGROS.csv,-2.6703
AKFYE.csv,SASA.csv,-2.4676
AKFYE.csv,TOASO.csv,-2.7310
AKFYE.csv,CWENE.csv,-2.4959
AKFYE.csv,AKBNK.csv,-2.4781
AKFYE.csv,AKCNS.csv,-2.6463
AKFYE.csv,THYAO.csv,-2.5966
AKFYE.csv,GOKNR.csv,-2.7138
AKFYE.csv,SAHOL.csv,-2.5676
AKFYE.csv,ISCTR.csv,-2.5832
AKFYE.csv,ULKER.csv,-2.5609
AKFYE.csv,TUPRS.csv,-2.6057
AKFYE.csv,FROTO.csv,-2.5169
AKFYE.csv,AFYON.csv,-2.4651
AKFYE.csv,GWIND.csv,-2.6208
AKFYE.csv,ASTOR.csv,-2.6014
AKFYE.csv,ANSGR.csv,-2.6706
AKFYE.csv,KAYSE.csv,-2.5069
AKFYE.csv,ASELS.csv,-2.4758
AKFYE.csv,DOHOL.csv,-2.4817
AKFYE.csv,BERA.csv,-2.7525
AKFYE.csv,KORDS.csv,-2.6097
AKFYE.csv,CCOLA.csv,-2.6230
ALFAS.csv,AGESA.csv,-2.4852
ALFAS.csv,EKGYO.csv,-2.6556
ALFAS.csv,HEKTS.csv,-2.4839
ALFAS.csv,BUCIM.csv,-2.7307
ALFAS.csv,ENKAI.csv,-2.6365
ALFAS.csv,HALKB.csv,-2.4675
ALFAS.csv,ALBRK.csv,-2.4784
ALFAS.csv,TTKOM.csv,-2.6294
ALFAS.csv,KORDS.csv,-2.5019
ALFAS.csv,CCOLA.csv,-2.6574
KLSER.csv,EKGYO.csv,-2.6222
KLSER.csv,ENKAI.csv,-2.5396
ARCLK.csv,AHGAZ.csv,-2.5515
ARCLK.csv,BRYAT.csv,-2.6475
ARCLK.csv,KONTR.csv,-2.4691
ARCLK.csv,GWIND.csv,-2.6557
ARCLK.csv,KAYSE.csv,-2.7533
ARCLK.csv,AGROT.csv,-2.6378
ARCLK.csv,OTKAR.csv,-2.7442
ARCLK.csv,CCOLA.csv,-2.4611
MGROS.csv,TSKB.csv,-2.6681
MGROS.csv,ALBRK.csv,-2.5444
ODAS.csv,SASA.csv,-2.5454
ODAS.csv,BINHO.csv,-2.4929
SASA.csv,KONTR.csv,-2.7536
SASA.csv,YYLGD.csv,-2.4862
KRDMD.csv,AHGAZ.csv,-2.7519
KRDMD.csv,AGESA.csv,-2.6463
KRDMD.csv,AKBNK.csv,-2.5830
KRDMD.csv,ISGYO.csv,-2.6336
KRDMD.csv,THYAO.csv,-2.4973
KRDMD.csv,AEFES.csv,-2.6672
KRDMD.csv,AFYON.csv,-2.6191
KRDMD.csv,KAYSE.csv,-2.4847
KRDMD.csv,ASELS.csv,-2.4667
KRDMD.csv,ENKAI.csv,-2.4798
KRDMD.csv,EUPWR.csv,-2.5232
AHGAZ.csv,EKGYO.csv,-2.5151
AHGAZ.csv,KAYSE.csv,-2.6133
AHGAZ.csv,DOHOL.csv,-2.5391
TOASO.csv,AKCNS.csv,-2.5998
TOASO.csv,DOAS.csv,-2.5608
TOASO.csv,A1CAP.csv,-2.4964
TOASO.csv,AFYON.csv,-2.7299
TOASO.csv,ASTOR.csv,-2.4718
TOASO.csv,KCHOL.csv,-2.4925
TOASO.csv,SOKM.csv,-2.4787
